id;repository;file;line;column;rule
97;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/graph.kt;657;25;LongParameterList
98;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/graph.kt;670;28;LongParameterList
99;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/graph.kt;254;1;LargeClass
100;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/graph.kt;25;1;TooMany
101;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/graph.kt;254;1;TooMany
102;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/layout_helpers.kt;17;41;LongParameterList
103;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/layout_helpers.kt;24;39;LongParameterList
104;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/layout_helpers.kt;53;20;LongParameterList
105;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/layout_helpers.kt;239;15;LongParameterList
106;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/adapter/graph.kt;67;1;LargeClass
107;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/adapter/graph.kt;67;1;TooMany
108;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/graph.kt;70;16;LongParameterList
109;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/graph.kt;85;19;LongParameterList
110;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout.kt;89;24;LongParameterList
111;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout.kt;107;40;LongParameterList
112;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout.kt;117;48;LongParameterList
113;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout.kt;69;1;TooMany
114;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout_manager.kt;67;1;LargeClass
115;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/layout_manager.kt;67;1;TooMany
116;TourGuide;/home/matheus/Documentos/repositories/Kotlin/TourGuide/tourguide/src/main/java/tourguide/tourguide/ToolTip.kt;11;1;TooMany
117;TourGuide;/home/matheus/Documentos/repositories/Kotlin/TourGuide/tourguide/src/main/java/tourguide/tourguide/Overlay.kt;7;1;TooMany
118;TourGuide;/home/matheus/Documentos/repositories/Kotlin/TourGuide/tourguide/src/main/java/tourguide/tourguide/FrameLayoutWithHole.kt;17;1;TooMany
119;TourGuide;/home/matheus/Documentos/repositories/Kotlin/TourGuide/tourguide/src/main/java/tourguide/tourguide/TourGuide.kt;22;1;LargeClass
120;TourGuide;/home/matheus/Documentos/repositories/Kotlin/TourGuide/tourguide/src/main/java/tourguide/tourguide/TourGuide.kt;22;1;TooMany
121;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/debug/kotlin/org/mariotaku/twidere/util/stetho/UserStreamDumperPlugin.kt;99;36;LongParameterList
122;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/debug/kotlin/org/mariotaku/twidere/util/stetho/UserStreamDumperPlugin.kt;137;35;LongParameterList
123;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/debug/kotlin/org/mariotaku/twidere/util/stetho/UserStreamDumperPlugin.kt;196;34;LongParameterList
124;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/debug/kotlin/org/mariotaku/twidere/util/stetho/Commons.kt;39;37;LongParameterList
125;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/ktextension/BundleExtensions.kt;1;1;TooMany
126;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/ktextension/MenuExtensions.kt;1;1;TooMany
127;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/ktextension/SQLiteDatabaseExtensions.kt;26;34;LongParameterList
128;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/ktextension/CollectionExtensions.kt;1;1;TooMany
129;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/app/TwidereApplication.kt;142;5;LongMethod
130;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/app/TwidereApplication.kt;87;1;TooMany
131;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;37;36;LongParameterList
132;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;53;36;LongParameterList
133;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;58;36;LongParameterList
134;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;74;36;LongParameterList
135;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;101;36;LongParameterList
136;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;113;36;LongParameterList
137;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/GlideExtensions.kt;1;1;TooMany
138;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/AccountExtensions.kt;1;1;TooMany
139;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/UserExtensions.kt;60;1;LongMethod
140;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/microblog/ActivityExtensions.kt;57;1;LongMethod
141;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/StatusExtensions.kt;64;1;LongMethod
142;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/StatusExtensions.kt;1;1;TooMany
143;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/mastodon/AccountExtensions.kt;45;1;LongMethod
144;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/api/mastodon/StatusExtensions.kt;51;1;LongMethod
145;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/ParcelableStatusExtensions.kt;1;1;TooMany
146;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/DraftExtensions.kt;45;1;LongMethod
147;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/ParcelableMessageExtensions.kt;27;28;LongParameterList
148;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/model/ParcelableActivityExtensions.kt;1;1;TooMany
149;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/ContentResolverExtensions.kt;34;26;LongParameterList
150;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/ContentResolverExtensions.kt;45;35;LongParameterList
151;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/ContentResolverExtensions.kt;64;33;LongParameterList
152;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/extension/ContentResolverExtensions.kt;73;33;LongParameterList
153;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/ParcelableActivitiesAdapter.kt;60;1;LargeClass
154;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/ParcelableActivitiesAdapter.kt;60;1;TooMany
155;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/SelectableUsersAdapter.kt;39;1;TooMany
156;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/ParcelableUsersAdapter.kt;37;1;TooMany
157;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/ParcelableStatusesAdapter.kt;60;1;LargeClass
158;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/ParcelableStatusesAdapter.kt;60;1;TooMany
159;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/StatusDetailsAdapter.kt;52;1;LargeClass
160;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/StatusDetailsAdapter.kt;52;1;TooMany
161;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/iface/IStatusesAdapter.kt;9;1;TooMany
162;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/SupportTabsAdapter.kt;132;12;LongParameterList
163;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/SupportTabsAdapter.kt;41;1;TooMany
164;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/adapter/DummyItemAdapter.kt;25;1;TooMany
165;Twidere-Android;/home/matheus/Documentos/repositories/Kotlin/Twidere-Android/twidere/src/main/kotlin/org/mariotaku/twidere/model/ActivityTitleSummaryMessage.kt;24;16;LongParameterList
